jour,Auvergne-Rhône-Alpes,Bourgogne-Franche-Comté,Bretagne,Centre-Val de Loire,Corse,Grand Est,Hauts-de-France,Île-de-France,Normandie,Nouvelle-Aquitaine,Occitanie,Pays de la Loire,Provence-Alpes-Côte d'Azur,France entière
2020-04-03,3.570580679837052,3.656511311175871,1.2383606154320825,2.616203694359092,2.627351927819477,8.49072345216382,3.276250184257843,8.890436702456205,1.9516718020656494,1.2338470949531792,1.7228099697832477,1.6180540770704706,3.1664377475953556,4.19792140466983
2020-04-04,3.615873458016803,3.823686439216013,1.2293214868522861,2.8335737342464946,2.8960583749828324,8.472704089998786,3.389511502269807,9.210768401824083,2.032741246151453,1.257348944380859,1.7057016284745758,1.7271662763466042,3.261848301195216,4.308226101980669
2020-04-05,3.753009925283272,3.9837477320204036,1.2745171297512672,2.91508749920427,2.8363458311687535,8.53937573000941,3.5294225421669387,9.424322868069337,2.131826122256325,1.27917209027799,1.7518941500079896,1.77506919310198,3.42285361039498,4.422862540560375
2020-04-06,3.8121421634623918,4.182935118621424,1.4191431870280067,3.078115029119822,2.746777015447635,8.651095775432617,3.709308164891823,9.660875507602539,2.1378312662626806,1.3144248644195093,1.7912433350179346,1.8229721098573557,3.631564196394674,4.549256562584155
2020-04-07,3.7228147398301044,4.310984152864937,1.389012758428686,3.1169311076711437,2.8064895592617143,8.683530627329677,3.8908593952345303,9.917140867096842,2.1408338382658587,1.3295331961944463,1.7638699889240599,1.8469235682350436,3.4546571282616,4.598762177085512
2020-04-08,3.6586499707421236,4.364337917133067,1.4583127442071238,3.248905774745638,2.687064471633556,8.483515707297807,3.94082762376922,10.249793016440409,2.041748962160987,1.337926713847189,1.7108341308671773,1.8628912071535022,3.569944880528097,4.652290122765106
2020-04-09,3.72658913801175,4.3074272352470615,1.4854301299465125,3.353709186834207,2.627351927819477,8.593433816504511,4.045760903692069,10.415708409446335,2.0927926862150117,1.3295331961944463,1.69714745782024,1.972003406429636,3.4745343269282376,4.713398615665219
2020-04-10,3.7114915452851664,4.559968386116212,1.4763910013667163,3.4701574224881724,2.328789208749082,8.827685524649947,4.090732309373291,10.563553809154588,2.2249058543548403,1.300995236175121,1.6389790973707559,2.054502874175005,3.5858466394614075,4.789668203006373
2020-04-11,3.7555261907377027,4.407020928547572,1.4673518727869201,3.578842442431874,2.269076664935003,8.723173224092752,4.070745017959414,10.698257395555439,2.1798672743071714,1.3681433773970628,1.5705457321360687,2.070470513093464,3.510313284528185,4.799259915816012
2020-04-12,3.8058514998263147,4.602651397530717,1.5366518585653577,3.6603562073896496,2.209364121120924,8.806062290051907,4.137369322672334,10.81324826199519,2.149841554275392,1.396681337416388,1.6321357608472873,2.15563125399191,3.637527355994665,4.876921848565017
2020-04-13,3.8435954816427738,4.656005161798847,1.5366518585653577,3.815620521594937,2.2392203930279635,8.879941674928544,4.205659235003077,10.838710525278277,2.1408338382658587,1.4386489256801014,1.6663524434646309,2.1902278049819035,3.6951712321279135,4.920703376389656
2020-04-14,3.8297560216434055,4.840964877928366,1.548704030005086,3.866081423711656,2.209364121120924,8.997067529001262,4.250630640684298,10.84938824859054,2.116813262240435,1.4537572574550384,1.6458224338942247,2.182243985522674,3.7647414274611455,4.9490143996826195
2020-04-15,3.7794307125547935,4.769826525570859,1.5185736014057651,3.866081423711656,2.4780705682842794,8.788042927886874,4.22398091879913,10.692507852233453,2.0597643941800547,1.3899665232941938,1.5619915614817328,2.113050883542687,3.7945572254611015,4.871507171978931
2020-04-16,3.7366541998294727,4.872977136489244,1.4583127442071238,3.7418699723474256,2.507926840191319,8.593433816504511,4.22398091879913,10.541376999198349,2.0237335301419197,1.3631072668054172,1.4884256938544442,2.126357249308069,3.7428765089278437,4.803436952039564
2020-04-17,3.7303635361933964,4.908546312667998,1.4552997013471918,3.776804443043615,2.507926840191319,8.514148622978363,4.1923343740604935,10.485524292641898,1.9816975220974287,1.3933239303552907,1.4815823573309754,2.134341068767298,3.754802828127826,4.7865741021000385
2020-04-18,3.701426483467444,4.805395701749612,1.4101040584482105,3.7379883644922933,2.269076664935003,8.34656855484355,4.19066876644267,10.258828013089246,1.972689806087895,1.3631072668054172,1.4713173525457723,2.0944219714711516,3.669330873861285,4.703033377628998
2020-04-19,3.753009925283272,4.7200296789206035,1.389012758428686,3.7651596194782186,2.2392203930279635,8.30332208564747,4.228977741652599,10.245686199781847,1.9997129541164962,1.3849304127025481,1.5004015327705145,2.0944219714711516,3.5301904831948225,4.698082816178862
2020-04-20,3.693877687104152,4.744928102245731,1.3709345012690937,3.726343540926897,2.0899390334927657,8.274491106183415,4.293936438747696,10.245686199781847,1.9907052381069623,1.4067535585996793,1.5277748788643895,2.0624866936342348,3.55006768186146,4.695916945544428
